Year,USGECropPercentCorn,ValuePerAcre,OperatingCostsPerAcre,SeedCostsPerAcre
2000,25,246.67,164.99,30.02
2001,26,266.92,162.3,32.34
2002,34,312.82,145.48,31.84
2003,40,319.62,161.16,34.83
2004,47,362.35,175.94,36.82
2005,52,260.43,186.37,40.47
2006,61,351.87,205.98,43.55
2007,73,468.94,228.99,49.04
2008,80,629.36,295.69,60.02
2009,85,561.22,295.01,78.92
2010,86,689.39,286.41,81.58
2011,88,837.77,332.33,84.37
2012,88,802.55,349.59,92.04
2013,90,720.51,355.6,97.59
2014,93,603.18,356.92,101.04
2015,92,612.6,333.8,101.62
2016,92,620.23,345.9,100.10
2017,92,621.49,337.07,98.84
